Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,mileage_num,engine_num,power_num,Brand,Model
2010,72000,CNG,Manual,First,5,5.51,1.75,26.6,998,58.16,maruti,wagon
2015,41000,Diesel,Manual,First,5,16.06,12.5,19.67,1582,126.2,hyundai,creta
2011,46000,Petrol,Manual,First,5,8.61,4.5,18.2,1199,88.7,honda,jazz
2012,87000,Diesel,Manual,First,7,11.27,6,20.77,1248,88.76,maruti,ertiga
2013,40670,Diesel,Automatic,Second,5,53.14,17.74,15.2,1968,140.8,audi,a4
2012,75000,LPG,Manual,First,5,10.25,2.35,21.1,814,55.2,hyundai,eon
2013,86999,Diesel,Manual,First,5,9.47,3.5,23.08,1461,63.1,nissan,micra
2016,36000,Diesel,Automatic,First,8,21,17.5,11.36,2755,171.5,toyota,innova
2013,64430,Diesel,Manual,First,5,13.23,5.2,20.54,1598,103.6,volkswagen,vento
2012,65932,Diesel,Manual,Second,5,7.63,1.95,22.3,1248,74,tata,indica
2018,25692,Petrol,Manual,First,5,10.65,9.95,21.56,1462,103.25,maruti,ciaz
2012,60000,Petrol,Automatic,First,5,13.58,4.49,16.8,1497,116.3,honda,city
2015,64424,Diesel,Manual,First,5,7.88,5.6,25.2,1248,74,maruti,swift
2014,72000,Diesel,Automatic,First,5,120,27,12.7,2179,187.7,land,rover
2012,85000,Diesel,Automatic,Second,5,120,17.5,,2179,115,land,rover
2014,110000,Diesel,Manual,First,7,32.01,15,13.5,2477,175.56,mitsubishi,pajero
2016,58950,Diesel,Manual,First,5,8.54,5.4,25.8,1498,98.6,honda,amaze
2017,25000,Diesel,Manual,First,5,7.88,5.99,28.4,1248,74,maruti,swift
2014,77469,Diesel,Manual,First,5,15.05,6.34,20.45,1461,83.8,renault,duster
2014,78500,Diesel,Automatic,First,5,49.49,28,14.84,2143,167.62,mercedes-benz,new
2014,32982,Diesel,Automatic,First,5,47.87,18.55,22.69,1995,190,bmw,3
2015,55392,Diesel,Manual,Second,5,7.88,8.25,23.65,1248,88.5,maruti,s
2015,55985,Petrol,Automatic,First,5,67.1,23.5,13.53,1984,177.01,audi,a6
2010,45807,Petrol,Manual,First,5,10.25,1.87,18.5,1197,80,hyundai,i20
2010,33000,Petrol,Automatic,First,5,13.23,2.85,14.4,1598,103.6,volkswagen,vento
2012,51920,Petrol,Manual,First,5,13.58,4.25,16.8,1497,116.3,honda,city
2012,54000,Diesel,Manual,First,5,9.47,4.25,23.08,1461,63.1,nissan,micra
2013,54000,Petrol,Manual,Second,5,4.36,2.75,20.92,998,67.1,maruti,alto
2018,37430,Petrol,Manual,First,5,10.57,9.9,17.5,1199,88.7,honda,wrv
2007,262000,Diesel,Manual,Fourth & Above,7,24.01,4,12.8,2494,102,toyota,innova
2013,62000,Diesel,Manual,First,5,15.05,7.75,19.01,1461,108.45,renault,duster
2012,87615,Petrol,Manual,First,5,21.085,6.75,14.53,1798,138.1,toyota,corolla
2013,72000,Diesel,Automatic,Second,7,18.865,12.5,11.18,2696,184,mahindra,ssangyong
2010,35000,Diesel,Automatic,First,5,67.1,11.5,12.4,2698,179.5,audi,a6
2014,55431,Petrol,Manual,Second,5,12.33,6.98,16.09,1598,103.5,volkswagen,vento
2009,83816,Petrol,Manual,Second,5,5.51,1.85,14,1061,64,maruti,wagon
2018,50075,Diesel,Manual,First,5,11.12,8.63,24.3,1248,88.5,maruti,vitara
2017,52000,Petrol,Manual,First,5,7.88,4.85,18.15,1198,82,mahindra,kuv
2013,85000,Diesel,Automatic,First,5,49.49,28,11.74,2987,254.8,mercedes-benz,m-class
2013,62000,Diesel,Manual,First,5,10.15,5,22.07,1199,73.9,volkswagen,polo
2008,90000,Petrol,Manual,Second,5,4.36,1.25,19.7,796,46.3,maruti,alto
2014,19698,Petrol,Manual,First,4,7.63,1.53,25.4,624,37.5,tata,nano
2017,22033,Diesel,Manual,First,6,7.88,5.58,25.32,1198,77,mahindra,kuv
2014,35487,Petrol,Manual,First,5,10.25,4.74,18.5,1197,82.9,hyundai,i20
2014,46374,Petrol,Automatic,First,5,23.64,8.85,14.62,1999,149.92,hyundai,elantra
2016,52001,Petrol,Automatic,First,5,21.085,10.11,14.28,1798,138.03,toyota,corolla
2008,58005,Diesel,Manual,Second,5,21.77,4.25,14.9,1991,112.2,hyundai,elantra
2012,70704,Petrol,Manual,First,7,18.64,10.95,11.25,2694,163.7,toyota,innova
2014,75000,Diesel,Manual,First,5,8.23,3.85,24.4,1120,71,hyundai,xcent
2012,75800,Diesel,Manual,Second,6,11.39,5.5,16.55,2498,105,mahindra,thar
2015,13648,Diesel,Automatic,First,5,53.14,21.43,17.11,1968,174.33,audi,a4
2014,52000,Diesel,Manual,First,5,7.88,4.25,22.9,1248,74,maruti,swift
2014,53000,Diesel,Manual,First,5,7.88,3.3,17.8,1248,75,maruti,swift
2013,65650,Diesel,Manual,First,5,7.88,3.85,28.4,1248,74,maruti,swift
2015,54000,Petrol,Manual,Third,5,7.45,3.6,18.9,1197,82,hyundai,grand
2015,39000,Petrol,Manual,First,5,13.23,3.99,15.04,1598,103.2,volkswagen,vento
2017,16542,Petrol,Manual,First,5,4.78,3.3,25.17,799,53.3,renault,kwid
2010,32000,Petrol,Manual,First,5,10.25,2.07,20.36,1197,78.9,hyundai,i10
2010,121812,Diesel,Automatic,First,5,11.33,7.75,13.29,1995,147.6,nissan,x-trail
2010,39300,Petrol,Manual,First,5,7.88,2.25,18.2,998,67.1,maruti,zen
2017,22000,Diesel,Manual,First,8,19.34,16.5,13.68,2393,147.8,toyota,innova
2010,72000,Diesel,Manual,First,5,7.65,2.75,20,1399,68,ford,figo
2015,58000,Petrol,Automatic,First,5,49.49,26.7,11.74,1796,186,mercedes-benz,new
2011,65000,Diesel,Manual,Second,5,49.49,10,15.8,2148,170,mercedes-benz,new
2016,178000,Diesel,Manual,First,5,7.63,2.5,25,1396,69,tata,indica
2012,65664,Diesel,Automatic,First,5,53.14,13.5,16.55,1968,140,audi,a4
2007,63000,Petrol,Automatic,Second,5,13.58,1.85,16.4,1497,78,honda,city
2019,15369,Diesel,Automatic,First,5,49.14,35.67,,1950,194,mercedes-benz,c-class
2016,63000,Diesel,Manual,First,7,11.27,8.15,24.52,1248,88.5,maruti,ertiga
2018,13000,Diesel,Manual,First,5,11.81,10.5,22.1,1396,88.7,hyundai,creta
2008,73000,Petrol,Automatic,First,5,136,14.5,8.5,4806,500,porsche,cayenne
2015,55729,Diesel,Manual,First,7,18.865,9.65,15.1,2179,140,mahindra,xuv500
2012,45178,Petrol,Automatic,First,5,10.25,3.48,16.95,1197,78.9,hyundai,i10
2015,56066,Diesel,Manual,First,5,16.65,6.92,19.64,1461,108.5,nissan,terrano
2016,37300,Petrol,Automatic,Second,5,6.62,6.46,16.5,1198,86.8,honda,brio
2014,56000,Diesel,Automatic,Second,5,67.1,29.5,18.53,1968,187.74,audi,a6
2008,111111,Diesel,Manual,First,5,11.685,2,17.8,1399,,ford,fiesta
2006,230000,Petrol,Manual,Third,8,24.01,4.5,12.4,1998,132,toyota,innova
2012,104000,Diesel,Manual,First,7,24.01,11.75,12.8,2494,102,toyota,innova
2005,87591,Petrol,Manual,First,5,4.55,1.3,,1086,,hyundai,santro
2012,95100,Diesel,Manual,First,5,7.88,3.75,22.9,1248,74,maruti,swift
2017,70000,Petrol,Manual,First,5,6.67,4.5,17.57,1193,88.7,tata,zest
2016,54944,Petrol,Manual,First,5,8.54,4.82,18,1198,86.7,honda,amaze
2012,70337,Diesel,Manual,First,5,7.65,2.8,20,1399,68,ford,figo
2013,99638,Diesel,Manual,First,5,7.88,3.11,23.2,1248,73.94,maruti,ritz
2009,52000,Petrol,Manual,First,5,13.58,3.25,17.8,1497,117.3,honda,city
2011,75000,Diesel,Automatic,Second,5,67.87,13.9,16.73,1995,218,bmw,5
2009,95980,Petrol,Manual,First,5,10.25,2.25,20.36,1197,78.9,hyundai,i10
2016,16000,Petrol,Manual,First,5,7.45,5.75,18.9,1197,82,hyundai,grand
2007,73745,Petrol,Manual,First,5,4.55,2.1,17,1086,,hyundai,santro
2016,18949,Petrol,Manual,First,5,8.54,5,17.8,1198,86.7,honda,amaze
2014,107000,Diesel,Manual,First,7,37.17,16.5,13,2982,168.5,toyota,fortuner
2018,48367,Diesel,Automatic,First,5,67.1,39.58,17.68,1968,174.33,audi,a6
2013,57000,Diesel,Manual,First,5,11.685,5.5,22.7,1498,89.84,ford,ecosport
2014,58000,Diesel,Manual,First,7,18.865,8.1,15.1,2179,140,mahindra,xuv500
2015,30000,Diesel,Manual,First,5,8.54,3.5,25.8,1498,98.6,honda,amaze
2013,34212,Diesel,Manual,First,5,10.15,2.79,22.07,1199,73.9,volkswagen,polo
2010,70002,Diesel,Manual,First,5,14.255,3.45,16.2,1493,110,hyundai,verna
2016,62000,Petrol,Manual,First,5,5.51,4.45,18.9,998,67.1,maruti,wagon
